Is Error,index,Code Desc,Is Error
0,0,"typedef struct
{
  char buf1[10];
  char buf2[10];
} my_struct;

int main(int argc, char *argv[])
{
  my_struct array_buf[5];


  array_buf[4].buf1[9] = 'A';


  return 0;
}
",0
0,1,"int main(int argc, char *argv[])
{
  int i;
  int j;
  int k;
  char buf[10];

  i = 9;
  j = i;
  k = j;

  buf[k] = 'A';


  return 0;
}
",0
0,2,"int main(int argc, char *argv[])
{
  int loop_counter;
  char buf[10];


  loop_counter = 0;
  while((++loop_counter) && (loop_counter <= 9))
  {
    buf[loop_counter] = 'A';
  }


  return 0;
}
",0
0,580,"
int main(int argc, char *argv[])
{
  int inc_value;
  int loop_counter;
  char buf[10];

  inc_value = 4105 - (4105 - 1);

  loop_counter = 0;
  while(loop_counter += inc_value)
  {
    buf[4105] = 'A';
    if (loop_counter >= 4105) break;
  }


  return 0;
}
",1
0,581,"int main(int argc, char *argv[])
{
  int inc_value;
  int loop_counter;
  char buf[10];

  inc_value = 10 - (10 - 1);

  for(loop_counter = 0; loop_counter <= 10; )
  {
    buf[10] = 'A';
    loop_counter += inc_value;
  }


  return 0;
}
",1
1,171,"int main(int argc, char *argv[])
{
  int init_value;
  int loop_counter;
  char buf[10];

  init_value = 0;

  loop_counter = init_value;
  do
  {
    buf[9] = 'A';
    loop_counter++;
    if (loop_counter > 9) break;
  }
  while(1);


  return 0;
}
",0
1,172,"int main(int argc, char *argv[])
{
  int init_value;
  int test_value;
  int inc_value;
  int loop_counter;
  char buf[10];

  init_value = 0;
  test_value = 9;
  inc_value = 9 - (9 - 1);

  loop_counter = init_value;
  do
  {
    buf[loop_counter] = 'A';
    loop_counter += inc_value;
    if (loop_counter > test_value) break;
  }
  while(1);


  return 0;
}
",0
1,295,"int main(int argc, char *argv[])
{
  int init_value;
  int test_value;
  int inc_value;
  int loop_counter;
  char buf[10];

  init_value = 0;
  test_value = 4105;
  inc_value = 4105 - (4105 - 1);

  loop_counter = init_value;
  while(loop_counter += inc_value)
  {
    buf[loop_counter] = 'A';
    if (loop_counter >= test_value) break;
  }


  return 0;
}
",1
1,579,"int main(int argc, char *argv[])
{
  int loop_counter;
  char buf[10];


  loop_counter = 0;
  while(++loop_counter)
  {
    buf[loop_counter] = 'A';
    if (loop_counter >= 17) break;
  }


  return 0;
}
",1
1,581,"int main(int argc, char *argv[])
{
  int init_value;
  int test_value;
  int loop_counter;
  char buf[10];

  init_value = 0;
  test_value = 17;

  for(loop_counter = init_value; loop_counter <= test_value; loop_counter++)
  {
    buf[17] = 'A';
  }


  return 0;
}
",1
